SubjID,SNR,Quintile,AvgPupilDilation
P10,5,4,0.0680597822811422
P10,0,4,-0.19689439080319
P10,-5,4,-0.213615954887459
P10,-10,4,-0.132000000387706
P10,5,5,-0.216391028733441
P10,0,5,-0.139830191640774
P10,-5,5,0.035627432216799
P10,-10,5,0.0706907105033947
P11,5,1,-0.0799425984712457
P11,0,1,-0.0848259965500249
P11,-5,1,0.182009551161608
P11,-10,1,0.129854043699912
P11,5,2,0.0887805616381443
P11,0,2,0.126904897940041
P11,-5,2,0.15375613741769
P11,-10,2,-0.164727527680588
P11,5,3,-0.0607126778663806
P11,0,3,0.000319506623256426
P11,-5,3,0.0533898703982124
P11,-10,3,-0.0199568813638807
P11,5,4,-0.062394893902478
P11,0,4,-0.102532927333449
P11,-5,4,-0.0998954298167872
P11,-10,4,-0.0747384123680743
